bodyId,in_degree,Q_value
729621875,404.0,0.1715265599099134
487144598,707.0,0.24658619849695437
1672320134,405.0,0.008360873281777861
550426732,335.0,0.1713220323203594
5813132515,294.0,0.16585526023386615
1167995070,281.0,0.19431831280512485
5813077633,345.0,0.1618750354544824
5813021602,357.0,0.17881245047561067
1100792636,402.0,0.24156883779868824
1730327790,702.0,0.00805587245591303
956518968,306.0,0.18720041119450584
2124762952,1693.0,0.2682360327639075
580227374,373.0,0.2145477331723238
1698347801,641.0,0.08123083548025449
1140923511,287.0,0.2012775491373113
915105429,424.0,0.2223432950927855
5812981791,320.0,0.1547499445303933
5813069496,290.0,0.15925096495371188
508689623,357.0,0.22073357583848408
1411737459,625.0,0.2107431735166782
734801540,309.0,0.18030289114757211
418607079,328.0,0.21245197927619758
5813057245,335.0,0.22117383392514448
669325882,363.0,0.2683248489411481
5813058048,729.0,0.09605776414498304
5813020996,388.0,0.1681954335745436
5813105172,2250.0,0.21904787484249974
5813020828,869.0,0.15962803143535362
5813050499,717.0,0.16404598128877276
5813034493,1515.0,-0.0011053525044008663
5813062858,735.0,0.2859618146600521
638829946,281.0,0.1959216120175146
1857799548,458.0,-0.010104539055187744
299082033,326.0,0.14342253126695972
5813075030,294.0,0.15622316359882576
1572240664,687.0,0.279966311394836
1748929680,332.0,0.1608542993831062
895441451,516.0,0.237492070061132
549597974,297.0,0.19843079808528885
5813078621,296.0,0.23036784027289095
703282980,434.0,0.20572188448453915
1139667240,382.0,0.0835090744774101
1262014782,492.0,0.1787826535656728
548712377,484.0,0.18722073385148635
549722579,466.0,0.19456590626088402
423770604,288.0,0.24902502674145688
328943204,331.0,0.18637521684433747
329566174,743.0,0.32978487177943544
5813057162,694.0,0.18948486601185663
1189912812,305.0,0.1727907198488813
5813053957,283.0,0.24937204777026908
1007576087,288.0,0.23174756433443613
487925063,1068.0,0.16360570879312722
2041621893,488.0,-0.0313259855992104
799868224,692.0,0.2612390434183757
1221457679,515.0,0.29236114232001087
1406966879,594.0,0.12045049271470629
5813037804,300.0,0.26738813966836406
393766777,1550.0,0.23361439015131405
5813068748,289.0,0.3110674786583964
