bodyId,in_degree,Q_value,in_degree_bin
729621875,404.0,0.1715265599099134,"(386.5, 426.0]"
487144598,707.0,0.24658162073030573,"(610.2, 881.4]"
1672320134,405.0,-0.004608122373569288,"(386.5, 426.0]"
550426732,335.0,0.17086063013469013,"(326.0, 346.6]"
5813132515,294.0,0.16617766540257553,"(292.0, 304.8]"
1167995070,281.0,0.19431831280512485,"(280.999, 292.0]"
5813077633,345.0,0.1618750354544824,"(326.0, 346.6]"
5813021602,357.0,0.17881245047561067,"(346.6, 386.5]"
1100792636,402.0,0.24156883779868824,"(386.5, 426.0]"
1730327790,702.0,0.0023274462936147475,"(610.2, 881.4]"
956518968,306.0,0.18720041119450584,"(304.8, 326.0]"
2124762952,1693.0,0.2709049805131131,"(881.4, 2666.0]"
580227374,373.0,0.2149701465025051,"(346.6, 386.5]"
1698347801,641.0,0.08123083548025449,"(610.2, 881.4]"
1140923511,287.0,0.2012775491373113,"(280.999, 292.0]"
915105429,424.0,0.2223432950927855,"(386.5, 426.0]"
5812981791,320.0,0.15449674623890056,"(304.8, 326.0]"
5813069496,290.0,0.15925096495371188,"(280.999, 292.0]"
508689623,357.0,0.2207383554022775,"(346.6, 386.5]"
1411737459,625.0,0.2107566004368555,"(610.2, 881.4]"
734801540,309.0,0.18030289114757211,"(304.8, 326.0]"
418607079,328.0,0.21254611096097917,"(326.0, 346.6]"
5813057245,335.0,0.2257063859303851,"(326.0, 346.6]"
669325882,363.0,0.2683248489411481,"(346.6, 386.5]"
5813058048,729.0,0.09605776414498304,"(610.2, 881.4]"
5813020996,388.0,0.16283393201399315,"(386.5, 426.0]"
5813105172,2250.0,0.21904787484249974,"(881.4, 2666.0]"
5813020828,869.0,0.15973526116277872,"(610.2, 881.4]"
5813050499,717.0,0.16501650102819285,"(610.2, 881.4]"
5813034493,1515.0,-0.0011053525044008663,"(881.4, 2666.0]"
5813062858,735.0,0.2859618146600521,"(610.2, 881.4]"
638829946,281.0,0.19548057067770752,"(280.999, 292.0]"
1857799548,458.0,-0.010104539055187744,"(426.0, 493.0]"
299082033,326.0,0.14342253126695972,"(304.8, 326.0]"
5813075030,294.0,0.156009659922447,"(292.0, 304.8]"
1572240664,687.0,0.279966311394836,"(610.2, 881.4]"
1748929680,332.0,0.1608542993831062,"(326.0, 346.6]"
895441451,516.0,0.23748810797301764,"(493.0, 610.2]"
549597974,297.0,0.19843079808528885,"(292.0, 304.8]"
5813078621,296.0,0.2321824748393872,"(292.0, 304.8]"
703282980,434.0,0.20562239491457188,"(426.0, 493.0]"
1139667240,382.0,0.0835090744774101,"(346.6, 386.5]"
1262014782,492.0,0.1785354793809251,"(426.0, 493.0]"
548712377,484.0,0.18722073385148635,"(426.0, 493.0]"
549722579,466.0,0.19456590626088402,"(426.0, 493.0]"
423770604,288.0,0.24902502674145688,"(280.999, 292.0]"
328943204,331.0,0.1904601872313549,"(326.0, 346.6]"
329566174,743.0,0.32978487177943544,"(610.2, 881.4]"
5813057162,694.0,0.1898469678361461,"(610.2, 881.4]"
1189912812,305.0,0.1727907198488813,"(304.8, 326.0]"
5813053957,283.0,0.24939392296703788,"(280.999, 292.0]"
1007576087,288.0,0.23174756433443613,"(280.999, 292.0]"
487925063,1068.0,0.16360570879312722,"(881.4, 2666.0]"
2041621893,488.0,-0.0313259855992104,"(426.0, 493.0]"
799868224,692.0,0.2612080565971845,"(610.2, 881.4]"
1221457679,515.0,0.29236114232001087,"(493.0, 610.2]"
1406966879,594.0,0.12045049271470629,"(493.0, 610.2]"
5813037804,300.0,0.2674907972226336,"(292.0, 304.8]"
393766777,1550.0,0.23357906068210837,"(881.4, 2666.0]"
5813068748,289.0,0.3110674786583964,"(280.999, 292.0]"
1542024630,335.0,0.16692453733882784,"(326.0, 346.6]"
328373131,296.0,0.21640148405719312,"(292.0, 304.8]"
5901213440,493.0,0.20674206063196227,"(426.0, 493.0]"
550081497,764.0,0.15195379353830363,"(610.2, 881.4]"
517086196,417.0,0.1905559009062881,"(386.5, 426.0]"
1008292492,285.0,0.24581154530355867,"(280.999, 292.0]"
792368888,550.0,0.14103526779525635,"(493.0, 610.2]"
5813054857,331.0,0.17354510796946548,"(326.0, 346.6]"
5813056054,398.0,0.1792981914885584,"(386.5, 426.0]"
1006967204,435.0,0.2160022960545472,"(426.0, 493.0]"
1628523730,706.0,0.2135582956474776,"(610.2, 881.4]"
1535086505,318.0,0.10652781687090834,"(304.8, 326.0]"
517506265,405.0,0.21053878025677286,"(386.5, 426.0]"
1702323386,295.0,-0.00586738963992625,"(292.0, 304.8]"
361722354,694.0,0.18894449498232127,"(610.2, 881.4]"
1503733177,498.0,0.2613328382842709,"(493.0, 610.2]"
1435791739,731.0,0.2361944651240784,"(610.2, 881.4]"
5813068707,418.0,0.20298484575712245,"(386.5, 426.0]"
5813057274,424.0,0.24370298960006823,"(386.5, 426.0]"
5813039148,790.0,0.2640117446986897,"(610.2, 881.4]"
268731005,289.0,0.18454141507304592,"(280.999, 292.0]"
1671292719,816.0,-7.248424867053872e-05,"(610.2, 881.4]"
5813077544,318.0,0.2176920160177528,"(304.8, 326.0]"
1038070642,294.0,0.2289897180692921,"(292.0, 304.8]"
5812990958,283.0,0.12630142207329167,"(280.999, 292.0]"
758419409,292.0,0.19525785467081236,"(280.999, 292.0]"
5813057579,1021.0,0.23289596920348687,"(881.4, 2666.0]"
5813021574,287.0,0.24396267602430619,"(280.999, 292.0]"
1701947337,532.0,-0.0078079753301755735,"(493.0, 610.2]"
425790257,2666.0,0.25771672850301713,"(881.4, 2666.0]"
5813022424,1515.0,0.2280959384962636,"(881.4, 2666.0]"
890671753,290.0,0.2319338441048271,"(280.999, 292.0]"
423101189,1180.0,0.21485774839541238,"(881.4, 2666.0]"
550068041,331.0,0.17941582330768785,"(326.0, 346.6]"
948709216,394.0,0.19575052871209703,"(386.5, 426.0]"
1013982515,688.0,0.19535797513212683,"(610.2, 881.4]"
5813039309,370.0,-0.009838519466566062,"(346.6, 386.5]"
5813026589,549.0,0.19380711750856222,"(493.0, 610.2]"
1192848260,417.0,0.2117917752723201,"(386.5, 426.0]"
1140245595,448.0,0.1789974342313615,"(426.0, 493.0]"
1070950293,415.0,0.2625625058463089,"(386.5, 426.0]"
859372751,320.0,0.19458084874034023,"(304.8, 326.0]"
1016835041,1256.0,0.12071817309790174,"(881.4, 2666.0]"
5813021535,282.0,0.25291737945019266,"(280.999, 292.0]"
1352684733,509.0,0.21974908403012253,"(493.0, 610.2]"
1196854070,1413.0,0.18653212528451754,"(881.4, 2666.0]"
5813068559,346.0,0.1878741871087362,"(326.0, 346.6]"
422725634,979.0,0.16257066652106172,"(881.4, 2666.0]"
330268940,871.0,0.23050808663836034,"(610.2, 881.4]"
1627030775,364.0,0.27011101385972147,"(346.6, 386.5]"
5813068729,910.0,0.11945480084771477,"(881.4, 2666.0]"
487925037,670.0,0.08592104186646812,"(610.2, 881.4]"
1138587910,297.0,0.22090056008349082,"(292.0, 304.8]"
5813033279,355.0,0.26304211421252405,"(346.6, 386.5]"
1436629378,387.0,0.18029440770841773,"(386.5, 426.0]"
1448575109,290.0,0.21650840918807043,"(280.999, 292.0]"
1639886198,281.0,-0.02036103768145492,"(280.999, 292.0]"
1977579449,317.0,-0.013076053814845263,"(304.8, 326.0]"
5813061260,390.0,0.29310021011572285,"(386.5, 426.0]"
1449955631,332.0,0.21506778196657053,"(326.0, 346.6]"
1040004619,346.0,0.19694775981243995,"(326.0, 346.6]"
421946059,290.0,0.2535837090819294,"(280.999, 292.0]"
297230760,438.0,0.21380996591407853,"(426.0, 493.0]"
483712161,434.0,0.2300404102704231,"(426.0, 493.0]"
298250090,289.0,0.1769240166364796,"(280.999, 292.0]"
361040812,504.0,0.17511229698123643,"(493.0, 610.2]"
1809592670,281.0,0.21629258094379158,"(280.999, 292.0]"
448342846,478.0,0.2583713096847728,"(426.0, 493.0]"
823913632,319.0,0.19211090530914654,"(304.8, 326.0]"
5813023322,774.0,0.23628275971240786,"(610.2, 881.4]"
673776769,368.0,0.19073584761057494,"(346.6, 386.5]"
674882250,538.0,0.16021102423767222,"(493.0, 610.2]"
5813019833,292.0,0.1421958878287807,"(280.999, 292.0]"
759810119,478.0,0.030955626018509704,"(426.0, 493.0]"
860896571,567.0,0.1959031370016432,"(493.0, 610.2]"
5813068769,321.0,0.2056732646005572,"(304.8, 326.0]"
330640044,426.0,0.1887002620316091,"(386.5, 426.0]"
360591860,329.0,0.21311722676745237,"(326.0, 346.6]"
5813069064,327.0,-0.027133655797681996,"(326.0, 346.6]"
611015907,329.0,0.1726867204372413,"(326.0, 346.6]"
643398197,282.0,0.1913799717422596,"(280.999, 292.0]"
988567837,291.0,0.22632792262393311,"(280.999, 292.0]"
1888658233,327.0,-0.0843641716896062,"(326.0, 346.6]"
297580589,422.0,0.22659568287581944,"(386.5, 426.0]"
5813068840,365.0,0.14520458623067425,"(346.6, 386.5]"
5813022629,378.0,0.2059239758952636,"(346.6, 386.5]"
634962055,300.0,0.20843221495680644,"(292.0, 304.8]"
5813080838,303.0,0.21377466141100684,"(292.0, 304.8]"
1048215779,1248.0,0.09408107924081609,"(881.4, 2666.0]"
550081666,308.0,0.1575833777724537,"(304.8, 326.0]"
5813022896,866.0,0.1116808496729267,"(610.2, 881.4]"
5813070019,341.0,0.12819554773426625,"(326.0, 346.6]"
5813049168,364.0,-0.06656277713598918,"(346.6, 386.5]"
1570343631,328.0,0.19912372397664035,"(326.0, 346.6]"
1284675398,346.0,0.19467194500078916,"(326.0, 346.6]"
1817712927,399.0,0.1814465818290978,"(386.5, 426.0]"
1434949542,289.0,0.2169569366570744,"(280.999, 292.0]"
330678844,465.0,0.17292346251820725,"(426.0, 493.0]"
612371421,1143.0,0.17701060194074741,"(881.4, 2666.0]"
447228814,307.0,0.162834055439668,"(304.8, 326.0]"
1234386037,934.0,0.12803839887114066,"(881.4, 2666.0]"
5813024035,334.0,0.2578229204732081,"(326.0, 346.6]"
925008763,470.0,0.19525364437073717,"(426.0, 493.0]"
517514142,483.0,0.19758280206158724,"(426.0, 493.0]"
1139909038,444.0,0.19444337179572785,"(426.0, 493.0]"
1480525262,358.0,0.18665916920813058,"(346.6, 386.5]"
702506641,506.0,0.20714336766715918,"(493.0, 610.2]"
5813054726,560.0,-0.010329911442946153,"(493.0, 610.2]"
953414780,333.0,0.19932771373004712,"(326.0, 346.6]"
576574889,283.0,0.1674793990096776,"(280.999, 292.0]"
1321564092,1046.0,0.19305459553121804,"(881.4, 2666.0]"
612738462,602.0,0.11383200662704687,"(493.0, 610.2]"
479935033,288.0,0.2129708375282038,"(280.999, 292.0]"
298957166,484.0,0.2082311114140597,"(426.0, 493.0]"
1075827302,286.0,0.14736452350033877,"(280.999, 292.0]"
5813125985,287.0,0.1956536914435699,"(280.999, 292.0]"
985813153,862.0,0.17748093761119646,"(610.2, 881.4]"
5813055949,402.0,0.19512862325709804,"(386.5, 426.0]"
518930199,1147.0,0.2650535696497252,"(881.4, 2666.0]"
1670287030,1352.0,0.00315175743081159,"(881.4, 2666.0]"
636944318,334.0,0.1729305640921517,"(326.0, 346.6]"
5813022234,801.0,0.12990553478243394,"(610.2, 881.4]"
362715189,328.0,0.23010194633643688,"(326.0, 346.6]"
5813061538,386.0,0.19995981699383314,"(346.6, 386.5]"
632544268,292.0,0.2139516880795533,"(280.999, 292.0]"
328935472,402.0,0.18123659900306244,"(386.5, 426.0]"
1006984280,670.0,0.2596033848668983,"(610.2, 881.4]"
1670627928,473.0,-0.021973464518571257,"(426.0, 493.0]"
5813017315,361.0,0.1711754806175115,"(346.6, 386.5]"
1757612027,304.0,0.2135453930379383,"(292.0, 304.8]"
1078693835,1172.0,0.06939080388539069,"(881.4, 2666.0]"
2060448332,385.0,0.2812281718581259,"(346.6, 386.5]"
769263962,369.0,0.20226718468215418,"(346.6, 386.5]"
703900244,316.0,0.1659417710288083,"(304.8, 326.0]"
1640909284,1774.0,0.012026991283563597,"(881.4, 2666.0]"
1946178096,597.0,-0.009116838558089813,"(493.0, 610.2]"
1386512867,912.0,0.16841836321420303,"(881.4, 2666.0]"
1508274398,325.0,0.1738694905526289,"(304.8, 326.0]"
5813079288,333.0,0.26861677214007434,"(326.0, 346.6]"
1048172314,1360.0,0.17950478490618582,"(881.4, 2666.0]"
5813027276,908.0,0.19460931179692179,"(881.4, 2666.0]"
979627466,435.0,0.16255638742837314,"(426.0, 493.0]"
